# Generated by plot_tbld_pj.py 
# Description:
#   MWR time depdent, T^2_b
# Using:
#   mwr_zonal_average.txt
#   ch1_gfilter.txt
#   ch2_gfilter.txt
#   ch3_gfilter.txt
#   ch4_gfilter.txt
#   ch5_gfilter.txt
#   ch6_gfilter.txt

# CH1 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
     34.23      2.39      1.17     -1.58     -1.12     -2.09      1.35     -3.25     -1.19      0.79
     34.95      1.69      1.29     -1.30     -0.96     -1.81      1.35     -3.75      0.64      1.08
     35.69      0.95      0.29     -0.73     -0.51     -0.71      0.80     -3.69      1.57      1.58
     36.42      0.36     -1.12     -0.19      0.05      0.19      0.10     -2.68      1.11      1.16
     37.17      0.33     -1.47      0.21     -0.03      0.54      0.49     -1.45      0.55      0.12
     37.92      0.84     -0.75      0.61     -0.33      0.39      1.32     -1.03      0.42     -0.04
     38.68      1.33     -0.09      0.31     -0.39     -0.18      1.57     -0.87     -0.22      0.57
     39.45      0.75     -0.09     -0.06     -0.16     -0.56      0.85     -0.47     -0.41      1.24
     40.23     -0.12     -0.45     -0.04      0.05     -0.87      0.22     -0.18     -0.35      1.03
     41.01     -0.38     -1.09      0.41      0.13     -0.53      0.41      0.29     -0.23      0.30
     41.81     -0.12     -2.18      0.27      0.11     -0.09      0.67     -0.02     -0.24     -0.16
     42.61     -0.07     -3.12     -0.66      0.29      0.22      0.49     -0.07      0.11     -0.49
     43.41     -0.28     -3.03     -0.84      0.46      0.17     -0.05     -0.05      0.44     -0.36
     44.20     -0.18     -1.51     -0.47      0.46     -0.07     -0.13     -0.26      0.53     -0.05
     44.99      0.11     -0.27     -0.04     -0.06     -0.19      0.37     -0.24      0.65      0.20
     45.78      0.43     -0.15     -0.28     -1.41     -0.23      0.67     -0.01      0.60      0.45
     46.57      0.42     -0.80      0.16     -2.32     -0.23      0.54      0.53      0.28      0.50
     47.36      0.22     -0.57      1.17     -1.51     -0.29      0.41      0.42     -0.38      0.28
     48.14     -0.03      0.29      1.56      0.10     -0.46      0.34      0.02     -0.74      0.22
     48.92      0.28      0.74      0.86     -0.30     -0.57      0.06     -0.06     -0.83      0.47
     49.70      0.79      0.46      0.13     -3.51     -0.12     -0.07      0.16     -0.70      0.68
     50.48      1.49      0.23      0.34     -6.76      0.30      0.19      0.31     -0.40      0.47
     51.26      1.46      0.46      0.49     -7.31      0.29      0.64      0.31     -0.00      0.47
     52.03      1.40      0.91      0.36     -5.41     -0.08      0.93      0.25     -0.46      0.56
     52.80      1.22      1.19      0.23     -3.32      0.05      1.10     -0.50     -1.20      0.55
     53.57      1.52      1.29      0.51     -2.47      0.74      1.20     -1.67     -1.94      0.08
     54.34      1.61      1.24      0.95     -2.15      1.47      1.08     -2.38     -1.98     -0.47
     55.11      1.07      1.07      1.20     -2.27      1.58      0.95     -2.00     -1.44     -0.95
     55.87      0.42      1.13      1.28     -3.43      1.26      0.74     -1.06     -0.76     -1.00
     56.64     -0.54      1.05      1.24     -5.83      0.85      0.63     -0.24     -0.31     -0.63
     57.40     -0.74      1.42      1.00     -8.57      0.81      0.56     -0.08     -0.55     -0.21
     58.16     -0.74      1.42      0.90    -10.19      1.10      0.48     -0.27     -0.91      0.08
     58.92     -0.22      1.43      0.56    -10.02      1.11      0.66     -0.52     -0.59     -0.16
     59.68      0.21      0.99      0.10     -8.53      0.68      0.92     -0.52      0.56     -0.66
# CH4 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
    -59.68     -0.31      0.13     -0.38      0.07     -0.47      0.41     -0.33      0.51      0.37
    -58.92      0.07      0.25     -0.34     -0.01     -0.27      0.69     -0.36      0.08     -0.15
    -58.16      0.30     -0.00     -0.30     -0.11     -0.11      0.80     -0.33     -0.18     -0.34
    -57.40      0.40      0.06     -0.26     -0.15     -0.08      0.76     -0.44      0.15     -0.24
    -56.64      0.52     -0.19     -0.18     -0.27     -0.07      0.64     -0.40      0.06     -0.07
    -55.87      0.47     -0.07     -0.13     -0.44     -0.26      0.56     -0.28      0.35      0.01
    -55.11      0.28      0.13      0.08     -0.75     -0.38      0.34     -0.25      0.28      0.32
    -54.34     -0.02      0.24      0.03     -0.92     -0.66      0.33      0.02      0.57      0.33
    -53.57     -0.21      0.55     -0.12     -1.14     -0.55      0.38      0.02      0.44      0.34
    -52.80     -0.32      0.81     -0.42     -1.02     -0.51      0.47      0.18      0.47      0.04
    -52.03     -0.19      0.99     -0.52     -0.90     -0.19      0.43      0.06      0.30     -0.11
    -51.26      0.01      1.03     -0.36     -0.47     -0.19      0.51     -0.05      0.15     -0.28
    -50.48      0.19      0.55     -0.06     -0.10     -0.10      0.44     -0.32      0.12     -0.41
    -49.70      0.13      0.25      0.33      0.06     -0.25      0.48     -0.42      0.03     -0.24
    -48.92      0.05     -0.17      0.44      0.01     -0.45      0.34     -0.56      0.19      0.01
    -48.14     -0.00     -0.31      0.23     -0.37     -0.50      0.37     -0.51      0.39      0.31
    -47.36      0.19     -0.34     -0.33     -0.55     -0.36      0.55     -0.52      0.40      0.32
    -46.57      0.43     -0.12     -0.60     -0.58     -0.31      0.80     -0.46      0.50      0.06
    -45.78      0.77      0.24     -0.58     -0.31     -0.39      1.08     -0.47      0.23     -0.36
    -44.99      0.73      0.30      0.03     -0.20     -0.88      0.98     -0.59      0.43     -0.56
    -44.20      0.38      0.20      0.64     -0.35     -0.87      0.46     -0.74      0.61     -0.27
    -43.41     -0.07     -0.41      0.95     -0.37     -0.71     -0.38     -0.94      1.21      0.38
    -42.61     -0.12     -0.73      0.85     -0.17     -0.03     -1.14     -0.94      1.66      0.89
    -41.81      0.39     -0.98      0.76      0.28      0.34     -1.61     -0.90      1.70      0.99
    -41.01      0.59     -0.82      0.95      0.30      0.49     -1.81     -0.66      1.22      0.70
    -40.23      0.39     -0.73      1.20      0.10      0.51     -1.72     -0.38      0.41      0.47
    -39.45     -0.14     -0.70      1.22     -0.21      0.55     -1.39     -0.09     -0.27      0.40
    -38.68     -0.09     -0.53      0.98     -0.38      0.69     -0.59      0.23     -0.33      0.43
    -37.92      0.23     -0.51      0.41     -0.54      0.46     -0.03      0.30     -0.21      0.35
    -37.17      0.02     -0.76      0.26     -0.52     -0.13      0.38      0.55      0.27      0.24
    -36.42     -0.84     -1.79      0.65     -0.10     -0.80      0.35      0.68      0.47      0.31
    -35.69     -1.87     -2.97      1.49      0.88     -1.32      0.53      1.14      0.86      0.59
    -34.95     -2.61     -3.58      1.60      1.84     -1.34      0.82      1.25      0.97      0.81
    -34.23     -2.77     -3.15      1.24      2.14     -1.16      1.18      0.91      1.18      0.88
    -33.51     -1.94     -2.21      0.85      1.37     -0.68      1.25      0.03      1.13      0.75
    -32.80     -0.55     -1.49      0.88      0.17     -0.27      0.90     -1.07      1.06      0.61
    -32.09      0.33     -1.13      0.55     -0.50     -0.01      0.36     -1.74      0.65      0.30
    -31.39      0.42     -0.75      0.10     -0.38      0.07     -0.12     -1.80      0.02     -0.20
    -30.69      0.56     -0.26     -0.18     -0.08     -0.04     -0.30     -1.42     -0.12     -0.41
    -30.00      0.99      0.03     -0.01     -0.21     -0.44     -0.21     -1.26      0.04     -0.19
    -29.31      1.08      0.34      0.26     -0.27     -0.72     -0.01     -1.45      0.20      0.27
    -28.63      0.91      0.59      0.27      0.01     -0.59      0.05     -1.91     -0.22      0.29
    -27.95      0.85      0.60      0.20      0.22     -0.30      0.06     -2.03     -0.49      0.05
    -27.28      0.52      0.28     -0.15      0.29     -0.31      0.61     -1.99     -0.21     -0.13
    -26.61      0.15      0.33     -0.04      0.33     -0.44      1.64     -1.62     -0.12      0.03
    -25.94     -0.41      0.60      0.20      0.22     -0.54      2.40     -1.34     -0.57      0.07
    -25.28     -0.54      0.65      0.29      0.09     -0.50      2.64     -1.38     -0.70      0.04
    -24.62     -0.49      0.29     -0.06     -0.11     -0.36      3.48     -1.21     -0.06     -0.07
    -23.97     -0.52      0.15     -0.29     -0.14     -0.02      4.23     -0.98      0.72     -0.18
    -23.32     -0.17     -0.27     -0.14      0.25      0.09      3.66     -0.53      0.72      0.01
    -22.67     -0.07     -0.81      0.35      0.37     -0.29      1.90     -0.77      0.41      0.40
    -22.02      0.10     -1.05      0.51      0.20     -0.89      0.35     -0.87      0.12      0.71
    -21.38      0.35     -0.69      0.55      0.54     -1.18     -0.40     -0.50     -0.00      0.45
    -20.74      0.31     -0.04      0.72      0.45     -0.65     -0.49      0.45     -0.32     -0.07
    -20.11      0.50      0.19      0.75      0.14     -0.15     -0.70      1.16     -1.09     -0.47
    -19.47      0.72     -0.34      0.30     -0.37     -0.33     -1.29      1.15     -1.00     -0.59
    -18.84      0.12     -0.62     -0.51     -1.22     -0.79     -2.44      0.42      0.49     -0.70
    -18.21      0.56      0.69     -0.47     -0.83     -0.97     -4.20      0.08      2.15     -0.89
    -17.58      1.25      2.82      0.54     -0.14     -0.61     -5.03      0.73      2.56     -0.78
    -16.96      2.02      2.74      1.27      1.02     -0.80     -4.30      1.41      1.80     -0.46
    -16.33      1.62      0.67      0.85      1.31     -0.66     -2.70      1.11      1.02     -0.02
    -15.71      0.45     -1.47      0.89      1.23      0.30     -1.53      0.42      0.92      0.03
    -15.09      0.06     -1.81      1.72      0.51      1.07     -2.21      0.36      0.90     -0.25
    -14.48     -0.42     -0.86      2.40      0.36      1.11     -3.94      1.14      1.08     -0.54
    -13.86     -0.65      0.42      3.03     -1.25      0.17     -4.38      1.24      1.15     -0.77
    -13.25     -0.78      1.45      2.60     -1.85     -0.48     -3.49      0.88      0.94     -0.98
    -12.64     -0.91      1.45      1.75     -2.25     -0.85     -1.03     -0.13      0.87     -1.00
    -12.02     -1.23      1.24      0.27     -1.37     -0.30      0.03     -0.80      0.69     -0.95
    -11.42     -1.49      1.20     -0.75     -0.91     -0.30      0.03     -0.91      1.19     -1.10
    -10.81     -1.63      1.23     -0.41     -0.07      0.35     -0.34     -0.68      1.24     -1.24
    -10.20     -1.65      0.82      0.69     -0.10     -0.34     -0.83     -0.81      1.43     -1.08
     -9.59     -0.61      0.28      0.74      0.06     -0.31     -1.66     -2.11      0.56     -0.48
     -8.99     -0.13     -0.24      1.03     -0.75     -1.09     -0.86     -1.21      0.08      1.52
     -8.39      1.73     -0.31      1.20     -1.81     -2.61      0.07      1.34     -0.56      3.27
     -7.78      1.95      1.60      2.10     -1.76     -3.21      1.80      3.35     -2.06      3.80
     -7.18      1.95      3.18      1.67     -0.83     -3.61      1.50      3.24     -3.13      1.73
     -6.58      1.01      3.64      1.45      0.41     -3.29      0.39      1.34     -3.80     -1.28
     -5.98      0.21      1.86      1.39      1.09     -3.22     -0.23      1.03     -3.46     -2.35
     -5.38      1.09      1.04      1.00      0.84     -2.89     -1.32     -0.16     -2.65     -1.95
     -4.78      1.20      1.20      0.03      0.70     -1.20     -0.81     -0.66     -3.08     -0.19
     -4.18      1.89      1.44     -0.68      0.46     -0.50     -0.23     -1.22     -3.35      0.37
     -3.58      1.56      1.35     -0.30      0.78     -0.42     -0.05     -1.27     -2.88      0.71
     -2.99      1.76      0.98     -0.26      0.68     -0.51     -0.36     -1.40     -1.08      0.90
     -2.39      1.54      0.86      0.23      0.20     -0.47     -1.27     -1.48      0.75      1.60
     -1.79      1.28      0.30      0.41     -0.33     -0.20     -1.17     -0.98      0.89      1.57
     -1.19      1.20      0.29     -0.05     -0.58     -0.79     -0.70     -0.27      0.92      2.52
     -0.60      1.47     -0.42      0.17      0.14     -0.90      0.53      1.16      0.20      1.16
      0.00      2.78     -0.83      0.73      0.33     -0.62      1.13      1.64     -0.71     -0.34
      0.60      4.04     -1.68      0.72      0.43      0.09      1.05      1.56     -1.37     -2.86
      1.19      3.37     -0.38      0.86      0.21      1.37      0.14     -0.14     -1.62     -3.98
      1.79      1.36      0.80      0.63     -0.26      2.55     -0.41     -1.81     -2.43     -3.91
      2.39      0.05      1.15      1.28      0.02      3.28     -0.34     -3.54     -4.36     -3.55
      2.99      0.76      0.61     -0.03     -0.35      3.54      0.01     -4.72     -5.41     -2.75
      3.58      2.13      0.83     -0.81     -0.43      3.70      0.02     -4.43     -5.66     -2.63
      4.18      2.40      2.09     -0.73      0.19      4.29     -0.41     -3.61     -5.61     -2.96
      4.78      3.08      1.10      0.77      1.05      5.11     -1.44     -3.13     -5.17     -3.79
      5.38      3.27      0.73      0.31      0.10      6.21     -1.07     -4.80     -5.61     -5.03
      5.98      4.53      1.70     -0.41     -0.78      6.09      0.21     -6.27     -6.15     -6.33
      6.58      4.26      3.94     -2.48     -1.46      4.93      2.85     -6.01     -6.67     -5.42
      7.18      2.97      4.55     -1.14      1.09      3.38      4.54     -1.15     -1.91     -2.29
      7.78      0.71      4.09     -2.12      5.44      3.15      5.01      7.05      3.58      5.92
      8.39     -0.14      3.37     -2.50      7.77      1.94      2.61      9.35      6.15     11.12
      8.99      0.58      2.44     -0.98      7.11      0.57      0.94      7.75      6.42     11.17
      9.59      2.09      1.16      0.64      1.68     -1.25     -0.76      2.05      6.44      6.32
     10.20      2.20      0.26      3.27     -2.84     -1.04      0.03     -0.49      6.91      1.98
     10.81      2.64      0.63     -1.05     -3.31     -0.98     -2.26     -1.63      5.01      1.28
     11.42      2.52      1.43     -2.61     -3.17     -0.27     -3.50     -2.28      2.59      0.18
     12.02      2.69      2.13     -3.97     -2.39     -0.55     -5.00     -1.19      2.57     -0.50
     12.64      2.13      2.04     -1.88     -2.97     -0.16     -1.88     -0.89      1.82     -1.35
     13.25      1.21      1.32     -0.86     -2.92      0.68      0.31     -0.32      1.58     -1.45
     13.86      1.15      0.25     -0.94     -1.51      1.08      1.51     -0.15      0.88     -0.87
     14.48      1.59     -0.69     -1.12     -1.31      2.43      0.74      0.34      0.53     -0.25
     15.09      3.02     -1.01      0.10      0.70      1.42     -0.90     -0.29     -0.37      0.43
     15.71      3.67     -1.39      0.04      1.55     -0.07     -2.65      0.01     -1.54      1.02
     16.33      4.46     -1.36     -1.20      1.89     -3.96     -4.04      0.59     -2.08      2.03
     16.96      4.49     -0.48     -2.72      0.76     -4.15     -3.56      1.50     -1.45      1.66
     17.58      4.96      1.02     -2.87     -1.16     -2.44     -1.17      1.39     -0.46      1.59
     18.21      4.72     -0.07     -1.79     -2.15     -0.32      0.89      0.35      1.14      1.49
     18.84      3.77     -1.74     -0.88     -2.87     -0.47      1.35     -0.17      1.56      0.88
     19.47      2.57     -3.29     -0.69     -2.23     -1.22      0.39     -0.35      1.43      0.43
     20.11      0.37     -1.66     -0.20     -1.57     -1.15     -0.69     -0.65      0.39     -0.60
     20.74     -0.40     -0.23     -0.19     -0.53     -0.62     -0.19      0.17      0.56      0.14
     21.38     -1.64      1.08      0.25     -0.27      0.08      0.17     -0.02      0.37      0.40
     22.02     -2.00      1.97      0.43     -0.00      0.16      0.63      0.60      0.45      0.22
     22.67     -2.79      1.97      0.25      0.04      0.25      0.23     -0.40     -0.02     -0.45
     23.32     -2.71      1.84      0.35      0.03     -0.05     -0.05     -0.11      0.39     -1.03
     23.97     -2.35      1.58     -0.08      0.25      0.71     -0.35     -0.40      1.18     -0.74
     24.62     -2.12      1.57     -0.19      0.26      1.03     -0.43     -0.03     -0.44     -0.72
     25.28     -1.66      2.48     -0.49      0.65      1.49     -0.20      0.19     -0.52     -0.70
     25.94     -1.49      2.80     -0.14      0.98      1.15     -0.09      0.69     -1.09     -1.04
     26.61     -0.97      2.17      0.18      0.71      0.38      0.34      0.48      0.60     -0.65
     27.28     -0.98      0.52      0.45      0.55     -0.70     -0.22     -0.06      1.16     -0.71
     27.95     -0.45     -0.65      0.46      0.26     -0.46     -0.57     -0.34      0.88     -0.54
     28.63     -0.37     -0.74      0.02      0.46     -0.22     -0.75     -0.16      1.12     -1.07
     29.31      0.03     -0.58     -0.10      0.15      0.90     -0.44      0.19      0.52     -0.92
     30.00      0.34     -0.34     -0.31     -0.17      0.38     -0.37      0.28      0.46     -0.85
     30.69      0.41      0.38     -0.13     -0.06      0.45     -0.41     -0.31      0.24     -0.35
     31.39      0.46      1.05     -0.24     -0.28     -0.44     -0.26     -0.49      0.58      0.22
     32.09      0.63      0.97     -0.67     -0.53     -0.34      0.65     -0.60      0.97      0.53
     32.80      1.02      0.94     -0.78     -0.84     -0.42      1.14     -0.46      1.07      0.78
     33.51      1.07      0.92     -1.04     -0.81     -0.05      1.17     -0.95      0.87      0.97
     34.23      0.73      0.56     -0.68     -1.33      0.46      0.55     -1.85      1.30      1.61
     34.95      0.02     -0.13     -0.30     -1.43      1.30      0.42     -1.73      1.43      1.75
     35.69     -0.85     -0.58     -0.52     -1.06      1.50      0.22     -1.42      1.01      1.78
     36.42     -1.07     -0.70     -0.69      0.04      1.25      0.24     -1.14      0.61      0.96
     37.17     -0.22     -0.71     -0.55      0.08      1.06      0.39     -1.09      0.07      0.14
     37.92      1.15     -0.21     -0.20     -0.08      0.98      1.14     -1.17      0.27     -0.31
     38.68      1.53      0.29     -0.29     -0.12      0.35      0.95     -0.94      0.37      0.15
     39.45      0.83      0.13     -0.35      0.04     -0.41      0.55     -0.64      0.58      0.83
     40.23     -0.02     -0.50      0.36      0.19     -0.55      0.19     -0.44      0.81      0.67
     41.01     -0.26     -0.74      1.13      0.12     -0.40      0.07     -0.47      0.60      0.16
     41.81     -0.40     -0.64      1.10      0.36     -0.32      0.00     -0.64      0.16     -0.70
     42.61     -0.53     -0.55      0.82      0.83     -0.21     -0.09     -0.27     -0.11     -0.87
     43.41     -0.67     -0.52      0.65      0.92     -0.27     -0.02     -0.00      0.18     -0.51
     44.20     -0.44     -0.32      0.69      0.69     -0.32     -0.12     -0.19      0.56      0.13
     44.99     -0.20     -0.05      0.65      0.27     -0.33     -0.27     -0.35      0.44      0.41
     45.78     -0.28      0.11      0.44      0.12     -0.18     -0.23     -0.16      0.25      0.28
     46.57     -0.16      0.13     -0.10      0.10     -0.25     -0.15     -0.07      0.30      0.19
     47.36      0.15      0.25     -0.13      0.21     -0.37     -0.09     -0.19      0.23      0.03
     48.14      0.51      0.30      0.29      0.20     -0.47     -0.09     -0.12     -0.07     -0.14
     48.92      0.39      0.43      0.55     -0.08     -0.51     -0.08      0.05     -0.23     -0.08
     49.70      0.28      0.31      0.18     -0.95     -0.52      0.19      0.21     -0.24      0.09
     50.48      0.44      0.18     -0.25     -1.78     -0.41      0.55      0.34     -0.14      0.16
     51.26      0.64      0.20     -0.25     -1.85     -0.12      0.40      0.59     -0.04      0.04
     52.03      0.60      0.09      0.08     -1.17     -0.06      0.03      0.53     -0.14      0.03
     52.80      0.30      0.02      0.33     -0.26     -0.01     -0.14      0.15     -0.46      0.11
     53.57      0.16     -0.16      0.44      0.05      0.02      0.16     -0.23     -0.73      0.31
     54.34      0.05     -0.16      0.41     -0.31      0.18      0.23     -0.35     -0.60      0.45
     55.11      0.04      0.07      0.36     -0.80      0.48     -0.09     -0.37     -0.14      0.61
     55.87     -0.28      0.13      0.26     -0.94      0.66     -0.53     -0.33      0.31      0.71
     56.64     -0.48      0.26      0.10     -0.78      0.55     -0.65     -0.18      0.37      0.87
     57.40     -0.54      0.20      0.05     -0.85      0.21     -0.17     -0.02      0.26      0.94
     58.16     -0.27      0.29     -0.01     -1.41     -0.02      0.22      0.13     -0.01      0.81
     58.92     -0.04      0.35      0.11     -1.98      0.18      0.43      0.15      0.15      0.51
     59.68      0.02      0.44      0.18     -2.38      0.60      0.19      0.18      0.59      0.19
# CH5 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
    -59.68     -0.68     -0.37     -0.30      1.03      0.31      0.15     -1.13      0.40      0.63
    -58.92     -0.20     -0.04     -0.35      0.81     -0.06      0.17     -1.06      0.44      0.25
    -58.16      0.39      0.05     -0.47      0.47     -0.36      0.10     -0.80      0.51      0.00
    -57.40      0.64     -0.11     -0.62      0.01     -0.33      0.26     -0.45      0.76     -0.04
    -56.64      0.88     -0.63     -0.92     -0.68     -0.21      0.11      0.07      0.80     -0.21
    -55.87      0.39     -0.83     -1.24     -1.34      0.04      0.02      0.48      1.03     -0.46
    -55.11     -0.17     -0.72     -1.46     -1.70      0.42     -0.37      0.72      0.98     -0.44
    -54.34     -1.05     -0.63     -1.56     -1.72      0.73     -0.71      0.79      0.89     -0.55
    -53.57     -1.32     -0.06     -1.34     -1.13      1.10     -0.94      0.69      0.77     -0.27
    -52.80     -1.02      0.61     -0.95     -0.23      0.95     -1.11      0.59      0.69     -0.45
    -52.03     -0.20      1.23     -0.31      0.84      0.84     -1.12      0.40      0.74     -0.09
    -51.26      0.58      1.06      0.41      1.48      0.40     -1.23      0.22      0.69     -0.08
    -50.48      0.85      0.65      1.18      1.48     -0.02     -1.19      0.11      0.63      0.16
    -49.70      0.25      0.24      1.56      0.87     -0.53     -1.16     -0.06      0.51      0.40
    -48.92     -0.39     -0.19      1.39      0.05     -0.80     -0.67     -0.21      0.29      0.54
    -48.14     -0.86     -0.39      0.61     -0.50     -0.62      0.02     -0.42      0.20      0.38
    -47.36     -0.33     -0.63     -0.48     -0.65     -0.35      0.91     -0.59      0.32     -0.22
    -46.57      0.11     -0.46     -1.21     -0.45     -0.16      1.07     -0.51      0.74     -0.76
    -45.78      0.37      0.00     -1.13     -0.29     -0.30      0.64      0.07      1.13     -0.94
    -44.99     -0.52      1.09     -0.16     -0.42     -1.10     -0.52      1.09      1.29     -0.60
    -44.20     -1.70      2.29      0.99     -0.68     -1.78     -1.61      2.16      1.16      0.05
    -43.41     -2.45      2.89      1.57     -0.88     -2.23     -2.43      2.89      0.99      0.92
    -42.61     -2.35      2.23      1.38     -0.76     -1.70     -2.67      2.83      0.95      1.45
    -41.81     -1.43      0.76      0.93     -0.46     -0.86     -2.46      2.06      0.87      1.63
    -41.01     -0.88     -0.75      0.91     -0.18     -0.18     -1.98      1.01      0.65      1.28
    -40.23     -0.29     -1.43      1.09     -0.03      0.05     -1.38      0.39      0.19      0.82
    -39.45     -0.18     -1.11      1.22     -0.15      0.06     -1.01      0.39     -0.34      0.56
    -38.68     -0.14     -0.43      0.68     -0.46      0.18     -0.73      0.65     -0.66      0.52
    -37.92     -0.19      0.11     -0.05     -0.82      0.16     -0.42      0.89     -0.75      0.57
    -37.17     -0.58     -0.10     -0.80     -0.95     -0.04     -0.13      0.76     -0.30      0.47
    -36.42     -0.82     -1.07     -0.82     -0.43     -0.29     -0.26      0.59      0.33      0.33
    -35.69     -1.76     -2.13      0.06      0.73     -0.10     -0.72      0.63      0.95      0.36
    -34.95     -2.46     -2.97      1.20      1.99      0.45     -0.83      1.12      1.20      0.38
    -34.23     -2.96     -2.87      1.62      2.53      0.89     -0.13      1.58      1.31      0.30
    -33.51     -2.43     -2.35      1.13      1.67      0.81      0.83      1.45      1.15      0.22
    -32.80     -1.72     -1.47      0.41      0.19      0.48      1.14      0.81      0.74      0.24
    -32.09     -0.90     -0.80     -0.09     -0.76      0.61      0.45      0.11      0.09      0.01
    -31.39     -0.25     -0.06     -0.38     -0.72      0.76     -0.44      0.04     -0.28     -0.54
    -30.69      0.13      0.48     -0.74     -0.32      0.35     -0.82      0.42     -0.23     -0.94
    -30.00      0.36      0.88     -0.55     -0.23     -0.52     -0.67      0.73     -0.13     -0.71
    -29.31      0.74      0.94     -0.44     -0.32     -0.88     -0.40      0.62     -0.13     -0.26
    -28.63      1.36      0.53     -0.47     -0.14     -0.51     -0.16      0.21     -0.40     -0.23
    -27.95      1.49     -0.11     -0.78      0.47     -0.34     -0.11      0.35     -0.54     -0.49
    -27.28      0.61     -0.76     -0.93      1.03     -0.47      0.55      0.77     -0.42     -0.72
    -26.61     -0.42     -0.94     -0.54      1.20     -0.45      2.38      1.04     -0.42     -0.58
    -25.94     -0.85     -1.02     -0.08      0.94     -0.26      4.25      0.15     -0.66     -0.43
    -25.28     -0.78     -0.89      0.01      0.56     -0.30      4.91     -0.73     -0.96     -0.19
    -24.62     -0.69     -0.67     -0.12     -0.02     -0.24      5.50     -0.63     -0.16     -0.25
    -23.97     -0.60     -0.46     -0.52     -0.36      0.11      6.69      0.31      1.04     -0.58
    -23.32     -0.49     -0.58     -0.19     -0.19      0.23      6.78      0.53      1.40     -0.43
    -22.67     -0.54     -1.08      0.54      0.06     -0.28      4.75      0.24      0.78      0.17
    -22.02     -0.65     -1.35      0.93     -0.17     -1.16      2.25      0.20      0.28      0.45
    -21.38     -0.53     -1.03      0.48     -0.01     -1.51      1.01      1.01      0.16     -0.21
    -20.74     -0.38     -0.20      0.34      0.21     -0.27      0.57      1.67     -0.34     -0.76
    -20.11     -0.13      0.32      0.14     -0.35      0.84      0.04      2.14     -1.55     -1.11
    -19.47      0.32     -0.59      0.35     -0.29      0.53     -1.16      2.18     -1.34     -1.53
    -18.84     -0.02     -1.08     -0.32     -0.61     -0.56     -2.19      1.91      1.06     -1.96
    -18.21      1.08      2.06      0.19      0.13     -0.91     -3.93      1.74      4.03     -1.44
    -17.58      2.61      6.00      1.44      1.40     -0.58     -4.58      2.11      5.19     -0.57
    -16.96      3.87      6.06      2.35      2.63     -1.21     -3.65      2.05      4.26     -0.09
    -16.33      2.90      2.65      1.83      3.18     -1.62     -3.52      1.01      3.15      0.33
    -15.71      1.02     -0.90      1.48      2.99      0.01     -3.63     -0.43      2.55      0.35
    -15.09      0.61     -1.34      2.50      2.71      2.00     -5.73     -0.17      2.79      0.01
    -14.48      0.32     -1.07      3.70      2.57      3.01     -6.88      1.38      3.28     -0.61
    -13.86     -0.30      0.40      5.76      0.02      2.31     -6.65      2.61      3.43     -0.59
    -13.25     -0.93      1.38      5.94     -1.87      0.73     -5.15      2.16      3.05     -0.33
    -12.64     -1.61      1.64      5.81     -2.25      0.80     -2.01      0.71      1.91     -0.34
    -12.02     -1.91      1.53      4.25     -1.46      1.09     -0.99     -0.64      1.28     -0.64
    -11.42     -2.73      1.52      3.50     -0.39      2.30     -0.89     -0.25      0.99     -1.11
    -10.81     -3.00      2.12      3.41     -0.19      1.43     -1.73      0.06      1.38     -1.78
    -10.20     -3.42      1.12      2.88      0.38      0.29     -2.07      0.58      1.08     -2.05
     -9.59     -2.39      0.27      1.71      0.04     -1.15     -3.44     -2.19      0.42     -2.08
     -8.99     -1.09     -1.33      1.01     -0.39     -1.61     -1.85     -1.09     -0.89      0.97
     -8.39      2.18     -1.96      1.86     -1.98     -4.57     -0.35      3.76     -1.81      5.14
     -7.78      3.77      0.99      3.15     -2.48     -5.89      2.84      7.94     -4.57      6.99
     -7.18      3.49      3.28      3.91     -2.01     -6.28      2.31      8.02     -6.29      3.99
     -6.58      2.25      4.17      3.66     -0.68     -5.56      0.61      3.82     -6.64     -1.27
     -5.98      0.05      1.12      2.90      0.56     -4.90     -0.50      2.26     -5.51     -3.31
     -5.38      1.00     -0.20      1.25      0.43     -4.99     -1.86      0.78     -3.91     -2.86
     -4.78      0.55      0.40      0.01      0.25     -2.21     -0.84     -0.29     -4.04     -0.98
     -4.18      1.76      1.21     -0.57      0.30     -1.13     -0.33     -0.98     -3.58     -0.06
     -3.58      1.27      1.59     -0.01      0.58     -0.58     -0.02     -0.96     -2.52      0.57
     -2.99      1.43      0.88     -0.49      0.63     -0.84     -0.34     -0.92     -0.47      1.32
     -2.39      1.08      0.59     -0.55      0.01     -1.03     -1.41     -0.41      1.21      2.62
     -1.79      1.07     -0.08     -0.95     -0.18     -1.18     -1.12      0.25      1.63      3.39
     -1.19      0.98     -0.51     -1.28     -0.24     -1.69     -0.85      0.91      2.09      4.76
     -0.60      1.51     -1.31     -0.28      0.61     -1.50      0.11      1.81      1.53      3.03
